Delivery_person_Age,Delivery_person_Ratings,Vehicle_condition,multiple_deliveries,Time_taken(min),DeliveryDistance,OrderTime,Weatherconditions_Fog,Weatherconditions_Sandstorms,Weatherconditions_Stormy,Weatherconditions_Sunny,Weatherconditions_Windy,Road_traffic_density_Jam,Road_traffic_density_Low,Road_traffic_density_Medium,Type_of_order_Drinks,Type_of_order_Meal,Type_of_order_Snack,Type_of_vehicle_scooter,City_Urban,Order_Day_Monday,Order_Day_Saturday,Order_Day_Sunday,Order_Day_Thursday,Order_Day_Tuesday,Order_Day_Wednesday,TypeOfMeal_Dinner,TypeOfMeal_Launch
37.0,4.9,2.0,0.0,24.0,3.0251492856773803,11,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
34.0,4.5,2.0,1.0,33.0,20.18352972873287,19,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
23.0,4.4,0.0,1.0,26.0,1.552757802255354,8,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
38.0,4.7,0.0,1.0,21.0,7.790401360105807,18,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
32.0,4.6,1.0,1.0,30.0,6.210137965623703,13,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1
22.0,4.8,0.0,1.0,26.0,4.610365144356333,21,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
33.0,4.7,1.0,1.0,40.0,16.600361127913082,19,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
35.0,4.6,2.0,1.0,32.0,20.20525323529313,17,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
22.0,4.8,0.0,1.0,34.0,19.97552008622187,21,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
36.0,4.2,2.0,3.0,46.0,10.280582064622465,22,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
21.0,4.7,1.0,1.0,23.0,6.242318682700942,15,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
23.0,4.7,1.0,1.0,21.0,13.787860239172238,17,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0
34.0,4.3,0.0,0.0,20.0,2.930257800762021,9,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
24.0,4.7,1.0,1.0,41.0,19.39661829066188,20,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0
29.0,4.5,2.0,1.0,20.0,13.7639772244273,20,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
35.0,4.0,1.0,1.0,33.0,6.218001190187312,15,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1
